year,mileage,brand,model,price,age,price_per_year,mileage_per_year
2018,106425,Mahindra,MPV,2578624,7,368374.86,15203.57
2007,90301,Hyundai,Sedan,2965780,18,164765.56,5016.72
2001,80293,Hyundai,Hatchback,1981793,24,82574.71,3345.54
2012,153407,Kia,Compact SUV,1060873,13,81605.62,11800.54
2008,95597,Toyota,SUV,3930933,17,231231.35,5623.35
2017,41583,Maruti Suzuki,Hatchback,2835468,8,354433.5,5197.88
2011,163936,Kia,SUV,1116959,14,79782.79,11709.71
2003,190432,MG,SUV,592115,22,26914.32,8656.0
2001,170825,Mahindra,SUV,1448531,24,60355.46,7117.71
2014,89005,MG,Luxury,1291979,11,117452.64,8091.36
2012,186955,Maruti Suzuki,Sedan,1878705,13,144515.77,14381.15
2002,112428,MG,Luxury,817998,23,35565.13,4888.17
2016,35820,Maruti Suzuki,Hatchback,395484,9,43942.67,3980.0
2017,30099,Toyota,SUV,1660236,8,207529.5,3762.38
2022,175113,Honda,Hatchback,1819241,3,606413.67,58371.0
2009,69231,Toyota,MPV,1608012,16,100500.75,4326.94
2000,182292,Honda,Sedan,2527288,25,101091.52,7291.68
2002,179676,MG,Luxury,2136851,23,92906.57,7812.0
2005,180032,Mahindra,SUV,464718,20,23235.9,9001.6
2003,193774,Toyota,MPV,1944242,22,88374.64,8807.91
2009,134756,Toyota,SUV,2887001,16,180437.56,8422.25
2017,126325,Kia,Compact SUV,2808033,8,351004.12,15790.62
2018,103637,Maruti Suzuki,SUV,1881930,7,268847.14,14805.29
2011,45922,Maruti Suzuki,SUV,1794877,14,128205.5,3280.14
2019,112399,Tata,SUV,3241279,6,540213.17,18733.17
2014,197089,Toyota,SUV,3418387,11,310762.45,17917.18
2002,153702,MG,Luxury,2740690,23,119160.43,6682.7
2011,176186,Toyota,SUV,3231696,14,230835.43,12584.71
2003,63721,Tata,SUV,946009,22,43000.41,2896.41
2016,110389,MG,SUV,2742369,9,304707.67,12265.44
2018,30565,Tata,Hatchback,887779,7,126825.57,4366.43
2022,78988,Tata,SUV,2376343,3,792114.33,26329.33
2014,21158,Toyota,Sedan,3413875,11,310352.27,1923.45
2008,87900,Maruti Suzuki,SUV,1236826,17,72754.47,5170.59
2019,101968,MG,SUV,529685,6,88280.83,16994.67
2007,69349,Mahindra,MPV,2759173,18,153287.39,3852.72
2005,100620,Tata,Hatchback,3971051,20,198552.55,5031.0
2022,50325,MG,Luxury,3296929,3,1098976.33,16775.0
2019,77912,Mahindra,MPV,1235381,6,205896.83,12985.33
2016,82867,Tata,SUV,1645701,9,182855.67,9207.44
2011,192645,Hyundai,Sedan,865564,14,61826.0,13760.36
2007,174946,Toyota,SUV,2882894,18,160160.78,9719.22
2012,196886,Hyundai,Hatchback,2150479,13,165421.46,15145.08
2015,36333,Kia,SUV,740565,10,74056.5,3633.3
2021,199427,Maruti Suzuki,SUV,3687497,4,921874.25,49856.75
2013,105452,Kia,SUV,1061096,12,88424.67,8787.67
2003,193104,Maruti Suzuki,Hatchback,435015,22,19773.41,8777.45
2017,87187,MG,SUV,3151443,8,393930.38,10898.38
2001,193611,Mahindra,SUV,2213355,24,92223.12,8067.12
2012,85041,Mahindra,SUV,3094618,13,238047.54,6541.62
2002,129938,Kia,Compact SUV,1362663,23,59246.22,5649.48
2018,66182,MG,SUV,3284197,7,469171.0,9454.57
2013,127949,Maruti Suzuki,Sedan,1017982,12,84831.83,10662.42
2020,171788,Maruti Suzuki,SUV,1964086,5,392817.2,34357.6
2009,122330,Toyota,MPV,677789,16,42361.81,7645.62
2008,140974,Kia,Compact SUV,2894469,17,170262.88,8292.59
2005,83993,Hyundai,Sedan,3095611,20,154780.55,4199.65
2006,118711,Mahindra,SUV,2873248,19,151223.58,6247.95
2014,33217,Maruti Suzuki,Sedan,2245620,11,204147.27,3019.73
2006,74396,Maruti Suzuki,Sedan,3307243,19,174065.42,3915.58
2001,189754,Maruti Suzuki,Hatchback,934819,24,38950.79,7906.42
2003,176651,Kia,SUV,3488323,22,158560.14,8029.59
2010,138675,MG,Luxury,3723763,15,248250.87,9245.0
2003,190040,Hyundai,SUV,974052,22,44275.09,8638.18
2019,164093,Mahindra,MPV,2900024,6,483337.33,27348.83
2022,170499,Honda,Sedan,2088332,3,696110.67,56833.0
2002,188171,MG,Luxury,512405,23,22278.48,8181.35
2004,133867,Toyota,Sedan,1002920,21,47758.1,6374.62
2000,96134,Honda,Sedan,637963,25,25518.52,3845.36
2003,163015,Toyota,SUV,3366223,22,153010.14,7409.77
2013,33251,Toyota,SUV,3069601,12,255800.08,2770.92
2005,136089,Maruti Suzuki,SUV,3281716,20,164085.8,6804.45
2010,154815,Tata,Sedan,3059738,15,203982.53,10321.0
2002,106070,Hyundai,Hatchback,896347,23,38971.61,4611.74
2009,135611,Kia,SUV,790314,16,49394.62,8475.69
2000,72579,Toyota,MPV,3871536,25,154861.44,2903.16
2008,58348,Kia,SUV,825795,17,48576.18,3432.24
2013,107178,Hyundai,Hatchback,2495679,12,207973.25,8931.5
2018,165159,Mahindra,SUV,759079,7,108439.86,23594.14
2004,84943,Mahindra,SUV,421881,21,20089.57,4044.9
2012,167610,MG,SUV,1811957,13,139381.31,12893.08
2007,77916,Mahindra,MPV,2392169,18,132898.28,4328.67
2016,113065,Kia,SUV,806716,9,89635.11,12562.78
2007,40798,Maruti Suzuki,Sedan,3248943,18,180496.83,2266.56
2005,69673,Kia,Compact SUV,3044915,20,152245.75,3483.65
2015,77017,MG,Luxury,2865289,10,286528.9,7701.7
2000,54923,MG,SUV,3573694,25,142947.76,2196.92
2012,143022,MG,SUV,3990794,13,306984.15,11001.69
2020,134573,Kia,Compact SUV,3330730,5,666146.0,26914.6
2001,172159,Honda,Sedan,1481244,24,61718.5,7173.29
2012,72764,Hyundai,SUV,2944094,13,226468.77,5597.23
2022,141712,Tata,Hatchback,916182,3,305394.0,47237.33
2019,170530,Tata,SUV,1323072,6,220512.0,28421.67
2014,39622,Toyota,Sedan,2494163,11,226742.09,3602.0
2014,39635,Mahindra,SUV,3274903,11,297718.45,3603.18
2015,156429,Honda,Sedan,2643068,10,264306.8,15642.9
2020,75137,Toyota,MPV,3281206,5,656241.2,15027.4
2011,78935,Hyundai,SUV,2099385,14,149956.07,5638.21
2009,55524,Mahindra,MPV,2065097,16,129068.56,3470.25
2020,132890,Kia,SUV,1585696,5,317139.2,26578.0
2008,74402,Hyundai,Hatchback,3407530,17,200442.94,4376.59
2022,39737,Hyundai,Hatchback,977793,3,325931.0,13245.67
2015,87559,Maruti Suzuki,SUV,839329,10,83932.9,8755.9
2011,46391,Hyundai,SUV,1124781,14,80341.5,3313.64
2002,155807,Mahindra,MPV,2697026,23,117262.0,6774.22
2019,147285,Hyundai,Sedan,3498892,6,583148.67,24547.5
2003,120308,Honda,Hatchback,409079,22,18594.5,5468.55
2017,176091,Toyota,Sedan,730048,8,91256.0,22011.38
2017,149894,Maruti Suzuki,Hatchback,1887341,8,235917.62,18736.75
2020,108863,Hyundai,Hatchback,2501997,5,500399.4,21772.6
2002,170913,Honda,Hatchback,1435659,23,62419.96,7431.0
2003,198808,Kia,Compact SUV,2993425,22,136064.77,9036.73
2016,194113,Toyota,Sedan,1409389,9,156598.78,21568.11
2002,42419,Hyundai,Sedan,2613823,23,113644.48,1844.3
2018,98368,Hyundai,Hatchback,1059078,7,151296.86,14052.57
2015,90872,Kia,Compact SUV,501017,10,50101.7,9087.2
2020,26182,Honda,Sedan,1254406,5,250881.2,5236.4
2017,199060,Honda,Sedan,1573017,8,196627.12,24882.5
2004,188347,Toyota,MPV,1645971,21,78379.57,8968.9
2009,23893,Honda,Sedan,2958940,16,184933.75,1493.31
2006,49940,Hyundai,Hatchback,2057377,19,108283.0,2628.42
2018,174171,Hyundai,SUV,3545040,7,506434.29,24881.57
2015,61293,Tata,Sedan,2029297,10,202929.7,6129.3
2020,111989,Mahindra,SUV,3141138,5,628227.6,22397.8
2001,162698,Hyundai,SUV,3412389,24,142182.88,6779.08
2001,131921,Kia,SUV,1876750,24,78197.92,5496.71
2007,159286,Tata,SUV,2236044,18,124224.67,8849.22
2017,128500,Maruti Suzuki,Sedan,3676613,8,459576.62,16062.5
2000,139428,Toyota,MPV,2912500,25,116500.0,5577.12
2019,180054,Kia,SUV,3230528,6,538421.33,30009.0
2002,141122,Maruti Suzuki,Sedan,3739197,23,162573.78,6135.74
2022,153379,Hyundai,Hatchback,3015782,3,1005260.67,51126.33
2004,159972,Honda,Hatchback,1021738,21,48654.19,7617.71
2018,174425,Mahindra,MPV,3397765,7,485395.0,24917.86
2014,167171,Kia,SUV,2010226,11,182747.82,15197.36
2002,179509,Honda,Hatchback,2139579,23,93025.17,7804.74
2007,197212,Hyundai,SUV,3762192,18,209010.67,10956.22
2008,158062,Kia,Compact SUV,3380301,17,198841.24,9297.76
2015,32440,Kia,Compact SUV,3661666,10,366166.6,3244.0
2018,35188,Toyota,SUV,2361796,7,337399.43,5026.86
2004,94072,Kia,Compact SUV,856662,21,40793.43,4479.62
2001,78318,Maruti Suzuki,SUV,3361259,24,140052.46,3263.25
2005,89740,Maruti Suzuki,Hatchback,2285904,20,114295.2,4487.0
2004,136818,MG,Luxury,2221463,21,105783.95,6515.14
2005,187429,Kia,Compact SUV,3991897,20,199594.85,9371.45
2006,119710,Maruti Suzuki,Sedan,3780231,19,198959.53,6300.53
2007,155324,Hyundai,SUV,963110,18,53506.11,8629.11
2022,139752,Mahindra,SUV,1072513,3,357504.33,46584.0
2008,82805,Tata,Hatchback,715984,17,42116.71,4870.88
2022,65381,Honda,Hatchback,1941110,3,647036.67,21793.67
2019,127181,MG,Luxury,396406,6,66067.67,21196.83
2010,191891,Kia,Compact SUV,3382416,15,225494.4,12792.73
2004,114250,Mahindra,SUV,2974638,21,141649.43,5440.48
2022,64975,Maruti Suzuki,Hatchback,1114223,3,371407.67,21658.33
2001,198820,Hyundai,SUV,2260615,24,94192.29,8284.17
2020,181192,Hyundai,SUV,3918526,5,783705.2,36238.4
2005,21496,MG,SUV,3852327,20,192616.35,1074.8
2019,63294,Honda,Sedan,901502,6,150250.33,10549.0
2013,184300,Mahindra,SUV,2076145,12,173012.08,15358.33
2008,162958,Toyota,Sedan,567805,17,33400.29,9585.76
2017,97013,Tata,SUV,691929,8,86491.12,12126.62
2006,173609,Hyundai,Sedan,3605902,19,189784.32,9137.32
2016,86997,Toyota,MPV,688559,9,76506.56,9666.33
2011,28485,Hyundai,Hatchback,3086572,14,220469.43,2034.64
2008,69949,Honda,Hatchback,2084759,17,122632.88,4114.65
2003,20872,Honda,Hatchback,2521628,22,114619.45,948.73
2011,195751,Tata,SUV,684069,14,48862.07,13982.21
2018,98536,Hyundai,SUV,3612982,7,516140.29,14076.57
2013,115576,Mahindra,MPV,1914418,12,159534.83,9631.33
2002,196799,Mahindra,MPV,1779178,23,77355.57,8556.48
2017,144799,Hyundai,SUV,2590265,8,323783.12,18099.88
2001,31379,Honda,Hatchback,2271445,24,94643.54,1307.46
2016,193481,Hyundai,Sedan,446368,9,49596.44,21497.89
2021,60588,Toyota,SUV,867848,4,216962.0,15147.0
2007,46086,Tata,Sedan,1206769,18,67042.72,2560.33
2021,176927,Honda,Hatchback,1915905,4,478976.25,44231.75
2006,164039,MG,Luxury,3042516,19,160132.42,8633.63
2018,22465,Mahindra,SUV,3692971,7,527567.29,3209.29
2017,123022,Kia,Compact SUV,423028,8,52878.5,15377.75
2002,110449,Toyota,SUV,2923222,23,127096.61,4802.13
2019,27027,Maruti Suzuki,Hatchback,2213061,6,368843.5,4504.5
2000,30113,Kia,Compact SUV,2667856,25,106714.24,1204.52
2018,131891,Toyota,Sedan,1929982,7,275711.71,18841.57
2009,132407,Toyota,MPV,3852488,16,240780.5,8275.44
2002,114120,Honda,Hatchback,1293019,23,56218.22,4961.74
2016,100651,Hyundai,Sedan,2387630,9,265292.22,11183.44
2003,44820,Kia,SUV,1372451,22,62384.14,2037.27
2011,41760,Honda,Sedan,1389857,14,99275.5,2982.86
2006,187006,Mahindra,MPV,1348116,19,70953.47,9842.42
2008,134059,Honda,Sedan,577931,17,33995.94,7885.82
2014,56303,MG,SUV,3873377,11,352125.18,5118.45
2022,105784,Maruti Suzuki,SUV,1357334,3,452444.67,35261.33
2006,43249,Mahindra,SUV,1499373,19,78914.37,2276.26
2022,100529,Maruti Suzuki,SUV,386443,3,128814.33,33509.67
2008,63799,MG,Luxury,2237596,17,131623.29,3752.88
2011,149218,Maruti Suzuki,Sedan,1172055,14,83718.21,10658.43
2000,191946,Tata,Sedan,3365081,25,134603.24,7677.84
2019,27960,MG,Luxury,1593346,6,265557.67,4660.0
2014,118723,MG,SUV,2045217,11,185928.82,10793.0
2003,93934,Mahindra,SUV,1790937,22,81406.23,4269.73
2017,32050,MG,SUV,2519235,8,314904.38,4006.25
2008,132076,Mahindra,MPV,1083211,17,63718.29,7769.18
2020,141435,Toyota,MPV,3661974,5,732394.8,28287.0
2015,57923,Hyundai,SUV,3602956,10,360295.6,5792.3
2014,58509,Tata,Hatchback,2581823,11,234711.18,5319.0
2009,70547,MG,Luxury,1323182,16,82698.88,4409.19
2004,120708,Mahindra,MPV,995364,21,47398.29,5748.0
2015,167869,Kia,Compact SUV,3229656,10,322965.6,16786.9
2014,172419,Honda,Sedan,2968441,11,269858.27,15674.45
2000,74940,Mahindra,SUV,2424396,25,96975.84,2997.6
2008,178962,Hyundai,Hatchback,3840605,17,225917.94,10527.18
2018,61700,Mahindra,SUV,1150093,7,164299.0,8814.29
2017,189891,Toyota,Sedan,3517354,8,439669.25,23736.38
2016,142368,Maruti Suzuki,Hatchback,2888661,9,320962.33,15818.67
2021,49332,Tata,SUV,2967821,4,741955.25,12333.0
2015,198267,MG,SUV,2125741,10,212574.1,19826.7
2001,135716,Maruti Suzuki,Sedan,3059076,24,127461.5,5654.83
2004,96478,Maruti Suzuki,Sedan,3198648,21,152316.57,4594.19
2006,39543,Honda,Hatchback,588380,19,30967.37,2081.21
2019,112338,Toyota,MPV,3327103,6,554517.17,18723.0
2017,82149,Tata,Sedan,1813250,8,226656.25,10268.62
2021,77625,Hyundai,Hatchback,3735951,4,933987.75,19406.25
2013,63663,Hyundai,Sedan,2062823,12,171901.92,5305.25
2000,117864,Honda,Hatchback,749821,25,29992.84,4714.56
2019,139746,Kia,SUV,901699,6,150283.17,23291.0
2011,50054,Toyota,Sedan,2834135,14,202438.21,3575.29
2010,121442,MG,SUV,1434507,15,95633.8,8096.13
2018,171898,MG,Luxury,345836,7,49405.14,24556.86
2007,87814,Tata,Hatchback,3649753,18,202764.06,4878.56
2008,194813,Hyundai,Sedan,2220211,17,130600.65,11459.59
2009,82169,Honda,Hatchback,2690787,16,168174.19,5135.56
2011,23427,Hyundai,SUV,3919706,14,279979.0,1673.36
2017,111889,Maruti Suzuki,Hatchback,1248233,8,156029.12,13986.12
2020,144154,Tata,SUV,1261658,5,252331.6,28830.8
2020,199634,Honda,Hatchback,938735,5,187747.0,39926.8
2009,94704,Maruti Suzuki,SUV,3520840,16,220052.5,5919.0
2000,180889,MG,SUV,1760017,25,70400.68,7235.56
2008,154945,Hyundai,SUV,3529770,17,207633.53,9114.41
2017,54255,Mahindra,SUV,787954,8,98494.25,6781.88
2010,90914,Toyota,MPV,2433936,15,162262.4,6060.93
2004,184463,MG,SUV,770446,21,36687.9,8783.95
2022,199509,Tata,SUV,3880268,3,1293422.67,66503.0
2012,148138,Tata,Sedan,3115486,13,239652.77,11395.23
2015,62903,Toyota,Sedan,1068374,10,106837.4,6290.3
2006,62709,MG,SUV,2213237,19,116486.16,3300.47
2016,35360,Tata,SUV,3437969,9,381996.56,3928.89
2019,35919,Mahindra,SUV,2387138,6,397856.33,5986.5
2007,58709,Kia,SUV,783169,18,43509.39,3261.61
2005,97511,Toyota,SUV,1637727,20,81886.35,4875.55
2017,141382,Honda,Hatchback,3242896,8,405362.0,17672.75
2003,92594,MG,Luxury,2735747,22,124352.14,4208.82
2001,26746,Toyota,MPV,2443140,24,101797.5,1114.42
2009,20559,Tata,Sedan,311112,16,19444.5,1284.94
2013,41591,Mahindra,SUV,1545862,12,128821.83,3465.92
2008,126463,Kia,Compact SUV,3675213,17,216189.0,7439.0
2002,99825,Mahindra,SUV,1235257,23,53706.83,4340.22
2013,90245,Kia,SUV,2258294,12,188191.17,7520.42
2015,78390,Tata,Hatchback,363914,10,36391.4,7839.0
2004,29031,Mahindra,MPV,1538963,21,73283.95,1382.43
2004,43173,Tata,SUV,838048,21,39907.05,2055.86
2018,149260,Tata,SUV,1339691,7,191384.43,21322.86
2016,27262,Hyundai,SUV,1659521,9,184391.22,3029.11
2012,46252,Toyota,Sedan,576602,13,44354.0,3557.85
2010,113992,Maruti Suzuki,SUV,2235991,15,149066.07,7599.47
2015,52410,Tata,Hatchback,3674654,10,367465.4,5241.0
2009,149005,Toyota,Sedan,1280629,16,80039.31,9312.81
2005,92987,Hyundai,Sedan,1636756,20,81837.8,4649.35
2010,171444,Honda,Hatchback,3915437,15,261029.13,11429.6
2020,151923,Toyota,MPV,3114720,5,622944.0,30384.6
2020,21466,Toyota,Sedan,2391591,5,478318.2,4293.2
2019,82852,Hyundai,Hatchback,1569388,6,261564.67,13808.67
2015,90460,Mahindra,MPV,3605471,10,360547.1,9046.0
2016,189750,Maruti Suzuki,Hatchback,839038,9,93226.44,21083.33
2018,78675,Toyota,SUV,411121,7,58731.57,11239.29
2009,196977,Kia,SUV,1778998,16,111187.38,12311.06
2015,123881,Tata,Hatchback,685274,10,68527.4,12388.1
2001,86020,Honda,Sedan,3203549,24,133481.21,3584.17
2005,144445,Maruti Suzuki,Hatchback,2989359,20,149467.95,7222.25
2021,145618,Toyota,MPV,1036809,4,259202.25,36404.5
2014,195574,Kia,Compact SUV,3615085,11,328644.09,17779.45
2002,145779,Tata,Sedan,1221567,23,53111.61,6338.22
2015,136014,Hyundai,SUV,2528607,10,252860.7,13601.4
2019,83058,Kia,SUV,1073350,6,178891.67,13843.0
2016,101138,Toyota,SUV,1812434,9,201381.56,11237.56
2008,128057,Hyundai,Hatchback,3691095,17,217123.24,7532.76
2012,42374,Toyota,SUV,936893,13,72068.69,3259.54
2003,175479,Toyota,SUV,404226,22,18373.91,7976.32
2008,101524,Tata,Sedan,1084841,17,63814.18,5972.0
2007,181290,Mahindra,MPV,3636224,18,202012.44,10071.67
2022,155366,Toyota,SUV,2732241,3,910747.0,51788.67
2005,159181,Toyota,MPV,2980966,20,149048.3,7959.05
2022,65334,Hyundai,Hatchback,2941533,3,980511.0,21778.0
2021,144750,Kia,SUV,2811359,4,702839.75,36187.5
2010,189949,Honda,Hatchback,3642110,15,242807.33,12663.27
2006,117378,Hyundai,Sedan,2423876,19,127572.42,6177.79
2006,122063,Kia,Compact SUV,877353,19,46176.47,6424.37
2004,92124,Toyota,Sedan,3747394,21,178447.33,4386.86
2010,62168,Kia,SUV,2084099,15,138939.93,4144.53
2014,81887,Kia,SUV,1614260,11,146750.91,7444.27
2011,167544,Kia,Compact SUV,3037287,14,216949.07,11967.43
2001,172715,Mahindra,SUV,1963867,24,81827.79,7196.46
2000,189747,Maruti Suzuki,Hatchback,854516,25,34180.64,7589.88
2022,151984,Maruti Suzuki,SUV,2493476,3,831158.67,50661.33
2015,107043,MG,SUV,798620,10,79862.0,10704.3
2008,136372,Tata,SUV,3625273,17,213251.35,8021.88
2019,77283,Mahindra,MPV,1309555,6,218259.17,12880.5
2005,94439,Hyundai,SUV,3155576,20,157778.8,4721.95
2021,198314,MG,Luxury,3804541,4,951135.25,49578.5
2011,142720,Mahindra,SUV,3624429,14,258887.79,10194.29
